ASV_ID,Cluster_ID,abundance,scientific_name,confidence_level
ASV21,535,33796,Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Megachilidae_124286;Pseudoanthidium_1004237;Pseudoanthidium,Potentially Novel
ASV22,177,33759,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV23,72,32916,Arthropoda_6656;Arachnida_6854;Araneae_6893;Dysderidae_75055;Dysdera_58763;Dysdera,High
ASV24,7,31866,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV25,-1,29063,Unclustered,Noise
ASV26,221,28118,Placozoa_10226;class_order_family_Polyplacotoma_2546582;order_family_Polyplacotoma_2546582;family_Polyplacotoma_2546582;Polyplacotoma_2546582;Polyplacotoma,High
ASV27,-1,27748,Unclustered,Noise
ASV28,62,27210,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Clausocalanidae_148994;Clausocalanus_148995;Clausocalanus,High
ASV29,-1,24803,Unclustered,Noise
ASV30,458,23549,Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164;Megaselia_36165;Megaselia,High
ASV31,142,23261,Arthropoda_6656;Arachnida_6854;Araneae_6893;Dictynidae_134565;Lathys_388980;Lathys,High
ASV32,44,22756,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Phytophthora_4783;Phytophthora,High
ASV33,530,21975,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Silphidae_57514;Thanatophilus_347474;Thanatophilus,Potentially Novel
ASV34,44,21588,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Phytophthora_4783;Phytophthora,High
ASV35,133,21127,Arthropoda_6656;Hexanauplia_72037;Harpacticoida_41212;Canthocamptidae_298464;Australocamptus_1104523;Australocamptus,High
ASV36,142,21049,Arthropoda_6656;Arachnida_6854;Araneae_6893;Dictynidae_134565;Lathys_388980;Lathys,High
ASV37,63,18570,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Phytophthora_4783;Phytophthora,High
ASV38,25,18039,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV39,-1,17543,Unclustered,Noise
ASV40,84,17334,phylum_Bigyra_2683628;Bigyra_2683628;Bicosoecida_33651;Cafeteriaceae_238884;Cafeteria_33652;Cafeteria,High
ASV41,25,17183,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV42,-1,16831,Unclustered,Noise
ASV43,108,16409,Basidiomycota_5204;Agaricomycetes_155619;Boletales_68889;Boletaceae_5368;Strobilomyces_80669;Strobilomyces,High
ASV44,0,15954,Tubulinea_555369;Echinamoebida_2681631;order_family_Vermamoeba_1260114;family_Vermamoeba_1260114;Vermamoeba_1260114;Vermamoeba,High
ASV45,7,15560,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV46,496,15477,Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593;Ithysia_704764;Ithysia,High
ASV47,7,15468,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV48,7,15274,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV49,25,15010,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV50,-1,14974,Unclustered,Noise
ASV51,265,14488,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV52,661,14176,Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157;Aedes_7158;Aedes,Potentially Novel
ASV53,-1,13891,Unclustered,Noise
ASV54,363,13811,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Amphicaryon_645366;Amphicaryon,High
ASV55,413,13675,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Phytopythium_795339;Phytopythium,High
ASV56,224,13650,Arthropoda_6656;Arachnida_6854;Araneae_6893;Thomisidae_94016;Xysticus_187486;Xysticus,High
ASV57,64,13491,Haptophyta_2830;class_Isochrysidales_73020;Isochrysidales_73020;Noelaerhabdaceae_418966;Emiliania_2902;Emiliania,High
ASV58,-1,13360,Unclustered,Noise
ASV59,-1,13080,Unclustered,Noise
ASV60,665,12698,Arthropoda_6656;Hexanauplia_72037;Cyclopoida_84308;Oithonidae_136189;Oithona_136190;Oithona,High
ASV61,-1,12569,Unclustered,Noise
ASV62,25,12465,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV63,66,12463,phylum_Raphidophyceae_38410;Raphidophyceae_38410;Chattonellales_658125;Chattonellaceae_658124;Chattonella_44439;Chattonella,High
ASV64,-1,12419,Unclustered,Noise
ASV65,-1,12391,Unclustered,Noise
ASV66,71,11983,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Acrotrichaceae_166513;Acrothrix_166514;Acrothrix,High
ASV67,-1,11794,Unclustered,Noise
ASV68,133,11776,Arthropoda_6656;Hexanauplia_72037;Harpacticoida_41212;Canthocamptidae_298464;Australocamptus_1104523;Australocamptus,High
ASV69,27,11712,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Praya_168784;Praya,High
ASV70,84,11330,phylum_Bigyra_2683628;Bigyra_2683628;Bicosoecida_33651;Cafeteriaceae_238884;Cafeteria_33652;Cafeteria,High
ASV71,-1,11165,Unclustered,Noise
ASV72,-1,10900,Unclustered,Noise
ASV73,519,10844,Arthropoda_6656;Arachnida_6854;Araneae_6893;Lycosidae_74973;Trochosa_74991;Trochosa,High
ASV74,264,10696,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
ASV75,-1,10687,Unclustered,Noise
ASV76,487,10681,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Peronospora_70742;Peronospora,High
ASV77,-1,10673,Unclustered,Noise
ASV78,613,10596,Oomycota_4762;class_Lagenidiales_4800;Lagenidiales_4800;family_Paralagenidium_1440114;Paralagenidium_1440114;Paralagenidium,High
ASV79,526,10491,Hemichordata_10219;Enteropneusta_10220;order_Harrimaniidae_10221;Harrimaniidae_10221;Meioglossus_1258549;Meioglossus,High
ASV80,-1,10470,Unclustered,Noise
ASV81,-1,10149,Unclustered,Noise
ASV82,583,10148,Ascomycota_4890;Eurotiomycetes_147545;Chaetothyriales_34395;Herpotrichiellaceae_43219;Cladophialophora_82105;Cladophialophora,High
ASV83,25,9938,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV84,510,9728,Mollusca_6447;Bivalvia_6544;Venerida_6580;Vesicomyidae_6588;Abyssogena_1181305;Abyssogena,High
ASV85,45,9562,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Cunea_1654807;Cunea,High
ASV86,101,9420,Oomycota_4762;class_Saprolegniales_4763;Saprolegniales_4763;Saprolegniaceae_4764;Saprolegnia_4769;Saprolegnia,High
ASV87,248,9401,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Vexilliferidae_180225;Vexillifera_218659;Vexillifera,High
ASV88,296,9358,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Pythium_4797;Pythium,High
ASV89,-1,9305,Unclustered,Noise
ASV90,-1,9303,Unclustered,Noise
ASV91,31,9264,Rhodophyta_2763;Florideophyceae_2806;Gigartinales_28017;Gigartinaceae_29217;Chondracanthus_29218;Chondracanthus,Potentially Novel
ASV92,366,9231,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV93,-1,9187,Unclustered,Noise
ASV94,278,9153,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
ASV95,-1,9101,Unclustered,Noise
ASV96,-1,9045,Unclustered,Noise
ASV97,265,8684,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV98,-1,8602,Unclustered,Noise
ASV99,574,8474,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Calanidae_6835;Undinula_184746;Undinula,High
ASV100,-1,8442,Unclustered,Noise
ASV101,183,8293,Cnidaria_6073;Hydrozoa_6074;Anthoathecata_406427;Corynidae_6077;Sarsia_6078;Sarsia,High
ASV102,-1,8203,Unclustered,Noise
ASV103,-1,8181,Unclustered,Noise
ASV104,-1,8170,Unclustered,Noise
ASV105,-1,8133,Unclustered,Noise
ASV106,263,8064,Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157;Anopheles_7164;Anopheles,High
ASV107,77,7862,Mollusca_6447;Gastropoda_6448;order_Lymnaeidae_6521;Lymnaeidae_6521;Galba_401861;Galba,High
ASV108,262,7852,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV109,342,7762,Discosea_555280;Flabellinia_1485085;order_Vannellidae_95227;Vannellidae_95227;Clydonella_218657;Clydonella,High
ASV110,-1,7732,Unclustered,Noise
ASV111,-1,7722,Unclustered,Noise
ASV112,262,7607,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV113,-1,7512,Unclustered,Noise
ASV114,22,7468,phylum_Chrysophyceae_2825;Chrysophyceae_2825;Chromulinales_96792;Chromulinaceae_98651;Pedospumella_1117029;Pedospumella,High
ASV115,-1,7466,Unclustered,Noise
ASV116,247,7355,Rhodophyta_2763;Florideophyceae_2806;Ceramiales_2802;Rhodomelaceae_2803;Osmundaria_155555;Osmundaria,High
ASV117,-1,7351,Unclustered,Noise
ASV118,-1,7274,Unclustered,Noise
ASV119,265,7267,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV120,-1,7179,Unclustered,Noise
ASV121,-1,7149,Unclustered,Noise
ASV122,-1,7136,Unclustered,Noise
ASV123,-1,7026,Unclustered,Noise
ASV124,417,7007,Ascomycota_4890;Dothideomycetes_147541;Cladosporiales_2726946;Cladosporiaceae_452563;Cladosporium_5498;Cladosporium,High
ASV125,-1,7007,Unclustered,Noise
ASV126,248,6997,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Vexilliferidae_180225;Vexillifera_218659;Vexillifera,High
ASV127,423,6994,Discosea_555280;class_Longamoebia_1485168;Longamoebia_1485168;Acanthamoebidae_33677;Acanthamoeba_5754;Acanthamoeba,High
ASV128,304,6929,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV129,319,6906,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV130,-1,6871,Unclustered,Noise
ASV131,-1,6851,Unclustered,Noise
ASV132,83,6801,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Clausocalanidae_148994;Clausocalanus_148995;Clausocalanus,High
ASV133,83,6794,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Clausocalanidae_148994;Clausocalanus_148995;Clausocalanus,High
ASV134,-1,6774,Unclustered,Noise
ASV135,-1,6756,Unclustered,Noise
ASV136,86,6755,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Vexilliferidae_180225;Vexillifera_218659;Vexillifera,High
ASV137,478,6676,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Chordariaceae_66220;Stilophora_1535335;Stilophora,Potentially Novel
ASV138,-1,6652,Unclustered,Noise
ASV139,519,6507,Arthropoda_6656;Arachnida_6854;Araneae_6893;Lycosidae_74973;Trochosa_74991;Trochosa,High
ASV140,-1,6492,Unclustered,Noise
ASV141,-1,6431,Unclustered,Noise
ASV142,490,6403,Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499;Evergestis_687091;Evergestis,High
ASV143,-1,6390,Unclustered,Noise
ASV144,543,6383,Porifera_6040;Demospongiae_6042;Tethyida_1779163;Timeidae_269157;Timea_269051;Timea,Potentially Novel
ASV145,390,6252,Rhodophyta_2763;Florideophyceae_2806;Ceramiales_2802;Dasyaceae_35164;Heterosiphonia_94296;Heterosiphonia,High
ASV146,296,6151,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Pythium_4797;Pythium,High
ASV147,-1,6109,Unclustered,Noise
ASV148,-1,6093,Unclustered,Noise
ASV149,229,6061,Cnidaria_6073;Hydrozoa_6074;Anthoathecata_406427;Cytaeididae_413643;Cytaeis_1254442;Cytaeis,High
ASV150,-1,6045,Unclustered,Noise
ASV151,-1,6040,Unclustered,Noise
ASV152,265,6018,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV153,27,5978,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Praya_168784;Praya,High
ASV154,5,5931,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Corylophidae_196998;Sericoderus_295822;Sericoderus,High
ASV155,-1,5926,Unclustered,Noise
ASV156,-1,5926,Unclustered,Noise
ASV157,-1,5895,Unclustered,Noise
ASV158,307,5881,Cnidaria_6073;Hydrozoa_6074;Leptothecata_500008;Obeliidae_2750047;Obelia_32569;Obelia,High
ASV159,-1,5880,Unclustered,Noise
ASV160,-1,5838,Unclustered,Noise
ASV161,389,5795,Discosea_555280;class_Longamoebia_1485168;Longamoebia_1485168;Acanthamoebidae_33677;Acanthamoeba_5754;Acanthamoeba,High
ASV162,-1,5768,Unclustered,Noise
ASV163,110,5759,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Vexilliferidae_180225;Vexillifera_218659;Vexillifera,High
ASV164,-1,5743,Unclustered,Noise
ASV165,51,5741,Bacillariophyta_2836;Mediophyceae_589449;Eupodiscales_33838;Parodontellaceae_2910914;Trieres_1529381;Trieres,High
ASV166,-1,5658,Unclustered,Noise
ASV167,302,5627,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Agalmatidae_168757;Agalma_316164;Agalma,Potentially Novel
ASV168,-1,5579,Unclustered,Noise
ASV169,-1,5544,Unclustered,Noise
ASV170,403,5471,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Chordariaceae_66220;Spermatochnus_329478;Spermatochnus,High
ASV171,78,5442,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Lampyridae_7049;Emarginoptyx_2985488;Emarginoptyx,High
ASV172,-1,5414,Unclustered,Noise
ASV173,-1,5408,Unclustered,Noise
ASV174,-1,5378,Unclustered,Noise
ASV175,485,5364,Bacillariophyta_2836;Mediophyceae_589449;Lithodesmiales_420271;Lithodesmiaceae_49247;Lithodesmium_59811;Lithodesmium,High
ASV176,-1,5338,Unclustered,Noise
ASV177,145,5329,Mollusca_6447;Gastropoda_6448;Stylommatophora_6527;Helicarionidae_424154;Stanisicarion_424183;Stanisicarion,High
ASV178,-1,5315,Unclustered,Noise
ASV179,413,5310,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Phytopythium_795339;Phytopythium,High
ASV180,-1,5287,Unclustered,Noise
ASV181,64,5268,Haptophyta_2830;class_Isochrysidales_73020;Isochrysidales_73020;Noelaerhabdaceae_418966;Emiliania_2902;Emiliania,High
ASV182,145,5254,Mollusca_6447;Gastropoda_6448;Stylommatophora_6527;Helicarionidae_424154;Stanisicarion_424183;Stanisicarion,High
ASV183,167,5203,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
ASV184,239,5199,Tubulinea_555369;Elardia_2681632;Euamoebida_180229;Hartmannellidae_5776;Ptolemeba_1525728;Ptolemeba,High
ASV185,-1,5161,Unclustered,Noise
ASV186,183,5155,Cnidaria_6073;Hydrozoa_6074;Anthoathecata_406427;Corynidae_6077;Sarsia_6078;Sarsia,High
ASV187,490,5154,Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499;Evergestis_687091;Evergestis,High
ASV188,-1,5134,Unclustered,Noise
ASV189,21,5076,Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Vespidae_7438;Zethus_427986;Zethus,High
ASV190,-1,5069,Unclustered,Noise
ASV191,64,5036,Haptophyta_2830;class_Isochrysidales_73020;Isochrysidales_73020;Noelaerhabdaceae_418966;Emiliania_2902;Emiliania,High
ASV192,216,5021,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Chordariaceae_66220;Hecatonema_86887;Hecatonema,Potentially Novel
ASV193,48,5018,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
ASV194,-1,5012,Unclustered,Noise
ASV195,10,4976,Arthropoda_6656;Insecta_50557;Diptera_7147;Agromyzidae_127399;Ophiomyia_341050;Ophiomyia,High
ASV196,71,4931,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Acrotrichaceae_166513;Acrothrix_166514;Acrothrix,High
ASV197,-1,4924,Unclustered,Noise
ASV198,-1,4919,Unclustered,Noise
ASV199,265,4888,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV200,265,4888,Porifera_6040;Demospongiae_6042;Axinellida_1779152;Raspailiidae_261678;Trikentrion_484443;Trikentrion,High
ASV201,343,4886,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Praya_168784;Praya,High
ASV202,-1,4849,Unclustered,Noise
ASV203,-1,4828,Unclustered,Noise
ASV204,-1,4795,Unclustered,Noise
ASV205,262,4793,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV206,-1,4790,Unclustered,Noise
ASV207,-1,4787,Unclustered,Noise
ASV208,-1,4775,Unclustered,Noise
ASV209,295,4763,Discosea_555280;Flabellinia_1485085;order_Vannellidae_95227;Vannellidae_95227;Paravannella_1443143;Paravannella,High
ASV210,322,4673,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV211,303,4649,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV212,-1,4643,Unclustered,Noise
ASV213,236,4593,Platyhelminthes_6157;Rhabditophora_147100;Tricladida_6159;Geoplanidae_52317;Geoplana_57255;Geoplana,Potentially Novel
ASV214,-1,4590,Unclustered,Noise
ASV215,-1,4522,Unclustered,Noise
ASV216,344,4499,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Praya_168784;Praya,High
ASV217,-1,4462,Unclustered,Noise
ASV218,-1,4455,Unclustered,Noise
ASV219,61,4453,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Euchaetidae_117959;Euchaeta_117960;Euchaeta,High
ASV220,416,4429,Ascomycota_4890;Eurotiomycetes_147545;Eurotiales_5042;Aspergillaceae_1131492;Penicillium_5073;Penicillium,High
ASV221,-1,4418,Unclustered,Noise
ASV222,-1,4418,Unclustered,Noise
ASV223,132,4356,Oomycota_4762;class_Saprolegniales_4763;Saprolegniales_4763;Saprolegniaceae_4764;Saprolegnia_4769;Saprolegnia,High
ASV224,-1,4338,Unclustered,Noise
ASV225,443,4313,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Vexilliferidae_180225;Pseudoparamoeba_229671;Pseudoparamoeba,High
ASV226,262,4309,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Globisporangium_1448052;Globisporangium,High
ASV227,374,4298,Mollusca_6447;Gastropoda_6448;order_Acroloxidae_240809;Acroloxidae_240809;Pseudancylastrum_1686270;Frolikhiancylus,Potentially Novel
ASV228,195,4297,Chordata_7711;Actinopteri_186623;Siluriformes_7995;Doradidae_31006;Rhynchodoras_1312665;Rhynchodoras,High
ASV229,27,4274,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Praya_168784;Praya,High
ASV230,177,4266,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV231,66,4246,phylum_Raphidophyceae_38410;Raphidophyceae_38410;Chattonellales_658125;Chattonellaceae_658124;Chattonella_44439;Chattonella,High
ASV232,-1,4206,Unclustered,Noise
ASV233,234,4206,Arthropoda_6656;Arachnida_6854;Araneae_6893;Malkaridae_336670;Chilenodes_1654951;Chilenodes,High
ASV234,-1,4193,Unclustered,Noise
ASV235,-1,4192,Unclustered,Noise
ASV236,51,4176,Bacillariophyta_2836;Mediophyceae_589449;Eupodiscales_33838;Parodontellaceae_2910914;Trieres_1529381;Trieres,High
ASV237,413,4163,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Phytopythium_795339;Phytopythium,High
ASV238,-1,4156,Unclustered,Noise
ASV239,-1,4150,Unclustered,Noise
ASV240,7,4146,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV241,0,4122,Tubulinea_555369;Echinamoebida_2681631;order_family_Vermamoeba_1260114;family_Vermamoeba_1260114;Vermamoeba_1260114;Vermamoeba,High
ASV242,-1,4113,Unclustered,Noise
ASV243,14,4109,Porifera_6040;Demospongiae_6042;Bubarida_1779154;Dictyonellidae_85793;Scopalina_85794;Scopalina,High
ASV244,-1,4099,Unclustered,Noise
ASV245,-1,4082,Unclustered,Noise
ASV246,156,4043,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Cunea_1654807;Cunea,High
ASV247,525,4029,Discosea_555280;Flabellinia_1485085;order_Vannellidae_95227;Vannellidae_95227;Clydonella_218657;Clydonella,High
ASV248,-1,3987,Unclustered,Noise
ASV249,-1,3946,Unclustered,Noise
ASV250,-1,3937,Unclustered,Noise
ASV251,263,3924,Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157;Anopheles_7164;Anopheles,High
ASV252,14,3923,Porifera_6040;Demospongiae_6042;Bubarida_1779154;Dictyonellidae_85793;Scopalina_85794;Scopalina,High
ASV253,-1,3913,Unclustered,Noise
ASV254,101,3905,Oomycota_4762;class_Saprolegniales_4763;Saprolegniales_4763;Saprolegniaceae_4764;Saprolegnia_4769;Saprolegnia,High
ASV255,212,3871,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Paramoeba_200890;Paramoeba,High
ASV256,-1,3820,Unclustered,Noise
ASV257,129,3804,Oomycota_4762;class_Saprolegniales_4763;Saprolegniales_4763;Saprolegniaceae_4764;Achlya_4765;Achlya,High
ASV258,7,3790,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV259,362,3766,Nemertea_6217;Pilidiophora_6218;Heteronemertea_6219;Lineidae_6222;Lineus_6223;Lineus,Potentially Novel
ASV260,-1,3765,Unclustered,Noise
ASV261,-1,3743,Unclustered,Noise
ASV262,196,3714,Chordata_7711;Actinopteri_186623;Siluriformes_7995;Doradidae_31006;Rhynchodoras_1312665;Rhynchodoras,High
ASV263,25,3704,Arthropoda_6656;Insecta_50557;Coleoptera_7041;Carabidae_41073;Gehringia_63886;Gehringia,Potentially Novel
ASV264,544,3693,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Prayidae_154960;Amphicaryon_645366;Amphicaryon,High
ASV265,296,3689,Oomycota_4762;class_Pythiales_121069;Pythiales_121069;Pythiaceae_4782;Pythium_4797;Pythium,High
ASV266,91,3669,Arthropoda_6656;Insecta_50557;Hemiptera_7524;Veliidae_95677;Xenobates_572359;Xenobates,Potentially Novel
ASV267,438,3640,Basidiomycota_5204;Agaricomycetes_155619;Agaricales_5338;Squamanitaceae_2976386;Floccularia_144547;Floccularia,High
ASV268,-1,3638,Unclustered,Noise
ASV269,71,3609,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Acrotrichaceae_166513;Acrothrix_166514;Acrothrix,High
ASV270,-1,3556,Unclustered,Noise
ASV271,-1,3534,Unclustered,Noise
